type,count,amount,name,year,quarter,state
TOTAL,64888,26799256.94581057,bandipore district,2018,2,jammu-&-kashmir
TOTAL,11296,27106631.47361443,reasi district,2018,2,jammu-&-kashmir
TOTAL,8017,8454705.838859541,shopian district,2018,2,jammu-&-kashmir
TOTAL,891298,1627868128.4895806,poonch district,2018,2,jammu-&-kashmir
TOTAL,25411,39744879.134225145,kathua district,2018,2,jammu-&-kashmir
TOTAL,3797,10312057.062347615,kishtwar district,2018,2,jammu-&-kashmir
TOTAL,54034,53382825.78039837,pulwama district,2018,2,jammu-&-kashmir
TOTAL,7715,14388161.945558583,ramban district,2018,2,jammu-&-kashmir
TOTAL,17110,40023701.506525375,rajouri district,2018,2,jammu-&-kashmir
TOTAL,30822,17711007.626695577,kulgam district,2018,2,jammu-&-kashmir
TOTAL,89823,77122240.2755234,budgam district,2018,2,jammu-&-kashmir
TOTAL,70838,43529509.03427214,anantnag district,2018,2,jammu-&-kashmir
TOTAL,28772,49999669.795696385,kupwara district,2018,2,jammu-&-kashmir
TOTAL,211,581878.7760569004,muzaffarabad district,2018,3,jammu-&-kashmir
TOTAL,12645,34027590.92391601,doda district,2018,3,jammu-&-kashmir
TOTAL,28728,62913580.60213567,samba district,2018,3,jammu-&-kashmir
TOTAL,2789,7804797.778845614,mirpur district,2018,3,jammu-&-kashmir
TOTAL,154314,270405876.71132636,srinagar district,2018,3,jammu-&-kashmir
TOTAL,210619,195960360.05707502,baramulla district,2018,3,jammu-&-kashmir
TOTAL,145123,376452715.050717,jammu district,2018,3,jammu-&-kashmir
TOTAL,52136,55650497.72050136,ganderbal district,2018,3,jammu-&-kashmir
TOTAL,37014,92258254.83476219,udhampur district,2018,3,jammu-&-kashmir
TOTAL,87129,60815662.86494814,bandipore district,2018,3,jammu-&-kashmir
TOTAL,16409,42269613.56023088,reasi district,2018,3,jammu-&-kashmir
TOTAL,8156,13724387.244946066,shopian district,2018,3,jammu-&-kashmir
TOTAL,1189512,2093062576.1870332,poonch district,2018,3,jammu-&-kashmir
TOTAL,35991,65729742.878893405,kathua district,2018,3,jammu-&-kashmir
TOTAL,5911,14394238.733370475,kishtwar district,2018,3,jammu-&-kashmir
TOTAL,65491,93861999.52986418,pulwama district,2018,3,jammu-&-kashmir
TOTAL,13585,31095426.6143336,ramban district,2018,3,jammu-&-kashmir
TOTAL,25458,73897455.39817372,rajouri district,2018,3,jammu-&-kashmir
TOTAL,36648,38482884.37476657,kulgam district,2018,3,jammu-&-kashmir
TOTAL,74691,120545227.15939456,budgam district,2018,3,jammu-&-kashmir
TOTAL,69967,95642801.11475597,anantnag district,2018,3,jammu-&-kashmir
TOTAL,31434,95123431.34163423,kupwara district,2018,3,jammu-&-kashmir
TOTAL,267,1159496.382415084,muzaffarabad district,2018,4,jammu-&-kashmir
TOTAL,16990,50665168.801815644,doda district,2018,4,jammu-&-kashmir
TOTAL,43623,110909698.34958589,samba district,2018,4,jammu-&-kashmir
TOTAL,4525,17198501.877917536,mirpur district,2018,4,jammu-&-kashmir
TOTAL,144970,329216330.48735344,srinagar district,2018,4,jammu-&-kashmir
TOTAL,109702,212164676.56823462,baramulla district,2018,4,jammu-&-kashmir
TOTAL,226829,670989049.2596997,jammu district,2018,4,jammu-&-kashmir
TOTAL,28646,51463841.198077515,ganderbal district,2018,4,jammu-&-kashmir
TOTAL,50056,158443928.52744907,udhampur district,2018,4,jammu-&-kashmir
TOTAL,27073,56020937.99422079,bandipore district,2018,4,jammu-&-kashmir
TOTAL,21464,57918446.21121466,reasi district,2018,4,jammu-&-kashmir
TOTAL,11706,27856762.58382556,shopian district,2018,4,jammu-&-kashmir
TOTAL,1642053,2992752160.889104,poonch district,2018,4,jammu-&-kashmir
TOTAL,50640,115344936.11363688,kathua district,2018,4,jammu-&-kashmir
TOTAL,6978,22848654.263971046,kishtwar district,2018,4,jammu-&-kashmir
TOTAL,43706,109777843.14790586,pulwama district,2018,4,jammu-&-kashmir
TOTAL,18133,52646196.621844925,ramban district,2018,4,jammu-&-kashmir
TOTAL,39629,132340219.58698925,rajouri district,2018,4,jammu-&-kashmir
TOTAL,32550,53586270.06020345,kulgam district,2018,4,jammu-&-kashmir
TOTAL,75940,175490225.93721515,budgam district,2018,4,jammu-&-kashmir
TOTAL,79193,110778790.88365649,anantnag district,2018,4,jammu-&-kashmir
TOTAL,46637,155148129.95113623,kupwara district,2018,4,jammu-&-kashmir
TOTAL,309,802634.3065277553,muzaffarabad district,2019,1,jammu-&-kashmir
TOTAL,19704,52638941.01283811,doda district,2019,1,jammu-&-kashmir
TOTAL,51437,119636659.29644221,samba district,2019,1,jammu-&-kashmir
TOTAL,4690,17006249.140305094,mirpur district,2019,1,jammu-&-kashmir
TOTAL,310516,595281412.755115,srinagar district,2019,1,jammu-&-kashmir
TOTAL,164873,235373167.04939288,baramulla district,2019,1,jammu-&-kashmir
TOTAL,336553,880021398.3075252,jammu district,2019,1,jammu-&-kashmir
TOTAL,44270,53435135.4465961,ganderbal district,2019,1,jammu-&-kashmir
TOTAL,61146,165236170.74876732,udhampur district,2019,1,jammu-&-kashmir
TOTAL,41790,57896061.76627199,bandipore district,2019,1,jammu-&-kashmir
TOTAL,27880,66524100.007024944,reasi district,2019,1,jammu-&-kashmir
TOTAL,18043,29280786.002076503,shopian district,2019,1,jammu-&-kashmir
TOTAL,1923655,2702486522.9746447,poonch district,2019,1,jammu-&-kashmir
TOTAL,65843,123437204.57869422,kathua district,2019,1,jammu-&-kashmir
TOTAL,8801,24577316.528928503,kishtwar district,2019,1,jammu-&-kashmir
TOTAL,73558,128624249.28698528,pulwama district,2019,1,jammu-&-kashmir
TOTAL,21258,51349078.85543774,ramban district,2019,1,jammu-&-kashmir
TOTAL,45577,133203926.99960737,rajouri district,2019,1,jammu-&-kashmir
TOTAL,64816,58528128.30016053,kulgam district,2019,1,jammu-&-kashmir
TOTAL,141988,182507224.81175336,budgam district,2019,1,jammu-&-kashmir
TOTAL,92467,115882661.62980533,anantnag district,2019,1,jammu-&-kashmir
TOTAL,65813,158106446.71607158,kupwara district,2019,1,jammu-&-kashmir
TOTAL,358,1356184.7873196776,muzaffarabad district,2019,2,jammu-&-kashmir
TOTAL,25374,74037772.87435512,doda district,2019,2,jammu-&-kashmir
TOTAL,54413,142027333.5175769,samba district,2019,2,jammu-&-kashmir
TOTAL,5820,25540990.107606493,mirpur district,2019,2,jammu-&-kashmir
TOTAL,721517,1997435095.3858333,srinagar district,2019,2,jammu-&-kashmir
TOTAL,150503,324305667.3040718,baramulla district,2019,2,jammu-&-kashmir
TOTAL,532412,1521238563.9344492,jammu district,2019,2,jammu-&-kashmir
TOTAL,42072,87050223.77363622,ganderbal district,2019,2,jammu-&-kashmir
TOTAL,70405,212612443.68697757,udhampur district,2019,2,jammu-&-kashmir
TOTAL,41227,86691218.6373212,bandipore district,2019,2,jammu-&-kashmir
TOTAL,35425,91038294.73353264,reasi district,2019,2,jammu-&-kashmir
TOTAL,19607,47839036.06601636,shopian district,2019,2,jammu-&-kashmir
TOTAL,38370,120247830.87705097,poonch district,2019,2,jammu-&-kashmir
TOTAL,62989,140667309.65092766,kathua district,2019,2,jammu-&-kashmir
TOTAL,13465,36238981.23104668,kishtwar district,2019,2,jammu-&-kashmir
TOTAL,72486,192069086.39596564,pulwama district,2019,2,jammu-&-kashmir
TOTAL,32101,87397686.35956638,ramban district,2019,2,jammu-&-kashmir
TOTAL,59741,189339489.0274282,rajouri district,2019,2,jammu-&-kashmir
TOTAL,47276,70172206.0431724,kulgam district,2019,2,jammu-&-kashmir
TOTAL,118107,244724342.9971184,budgam district,2019,2,jammu-&-kashmir
TOTAL,76968,176892916.91069663,anantnag district,2019,2,jammu-&-kashmir
TOTAL,75719,231219527.26181516,kupwara district,2019,2,jammu-&-kashmir
TOTAL,289,878367.6864000999,muzaffarabad district,2019,3,jammu-&-kashmir
TOTAL,13665,39001610.496151924,doda district,2019,3,jammu-&-kashmir
TOTAL,32337,83363005.10981622,samba district,2019,3,jammu-&-kashmir
TOTAL,3501,11882521.929194864,mirpur district,2019,3,jammu-&-kashmir
TOTAL,329195,1391918063.9301224,srinagar district,2019,3,jammu-&-kashmir
TOTAL,55226,164311812.1144624,baramulla district,2019,3,jammu-&-kashmir
TOTAL,275239,885413982.5256196,jammu district,2019,3,jammu-&-kashmir
TOTAL,20047,58009547.84811531,ganderbal district,2019,3,jammu-&-kashmir
TOTAL,43153,135163022.78214857,udhampur district,2019,3,jammu-&-kashmir
TOTAL,15986,42396418.66176845,bandipore district,2019,3,jammu-&-kashmir
TOTAL,22807,59225448.98924215,reasi district,2019,3,jammu-&-kashmir
TOTAL,7786,16229882.153781377,shopian district,2019,3,jammu-&-kashmir
TOTAL,23270,75145778.40317626,poonch district,2019,3,jammu-&-kashmir
TOTAL,42083,90084615.95369668,kathua district,2019,3,jammu-&-kashmir
TOTAL,7443,21173636.241557535,kishtwar district,2019,3,jammu-&-kashmir
TOTAL,33089,104266797.68078922,pulwama district,2019,3,jammu-&-kashmir
TOTAL,23615,69645588.74289,ramban district,2019,3,jammu-&-kashmir
TOTAL,34386,112169651.6625633,rajouri district,2019,3,jammu-&-kashmir
TOTAL,17217,33851231.999382496,kulgam district,2019,3,jammu-&-kashmir
TOTAL,41566,114191268.29962389,budgam district,2019,3,jammu-&-kashmir
TOTAL,39325,117282515.54028721,anantnag district,2019,3,jammu-&-kashmir
TOTAL,35301,118625723.03167562,kupwara district,2019,3,jammu-&-kashmir
TOTAL,13,33490.7377982426,muzaffarabad district,2019,4,jammu-&-kashmir
TOTAL,2864,13087031.76313566,doda district,2019,4,jammu-&-kashmir
TOTAL,14817,53713327.351715714,samba district,2019,4,jammu-&-kashmir
TOTAL,642,3841256.042835106,mirpur district,2019,4,jammu-&-kashmir
TOTAL,117133,474222741.4546555,srinagar district,2019,4,jammu-&-kashmir
TOTAL,8345,30863315.57342449,baramulla district,2019,4,jammu-&-kashmir
TOTAL,231238,928579096.2076488,jammu district,2019,4,jammu-&-kashmir
TOTAL,834,4743500.871029498,ganderbal district,2019,4,jammu-&-kashmir
TOTAL,22103,91344412.2796205,udhampur district,2019,4,jammu-&-kashmir
TOTAL,300,1680075.8498654477,bandipore district,2019,4,jammu-&-kashmir
TOTAL,12986,43788337.944249794,reasi district,2019,4,jammu-&-kashmir
TOTAL,285,648555.5507799082,shopian district,2019,4,jammu-&-kashmir
TOTAL,10130,37926598.592978455,poonch district,2019,4,jammu-&-kashmir
TOTAL,28288,83151146.69576254,kathua district,2019,4,jammu-&-kashmir
TOTAL,2057,9695993.464283273,kishtwar district,2019,4,jammu-&-kashmir
TOTAL,1473,9185346.443124529,pulwama district,2019,4,jammu-&-kashmir
TOTAL,14088,49372161.637940705,ramban district,2019,4,jammu-&-kashmir
TOTAL,15973,65942824.07004503,rajouri district,2019,4,jammu-&-kashmir
TOTAL,211,982047.0576332739,kulgam district,2019,4,jammu-&-kashmir
TOTAL,2351,11629862.550543789,budgam district,2019,4,jammu-&-kashmir
TOTAL,3109,11464594.84393266,anantnag district,2019,4,jammu-&-kashmir
TOTAL,688,3800280.8395930566,kupwara district,2019,4,jammu-&-kashmir
TOTAL,112,436693.6274538382,muzaffarabad district,2020,1,jammu-&-kashmir
TOTAL,14126,38583563.327599555,doda district,2020,1,jammu-&-kashmir
TOTAL,32933,90185246.2200037,samba district,2020,1,jammu-&-kashmir
TOTAL,3104,11580819.24606758,mirpur district,2020,1,jammu-&-kashmir
TOTAL,127979,474473029.57881373,srinagar district,2020,1,jammu-&-kashmir
TOTAL,38477,102651433.96810117,baramulla district,2020,1,jammu-&-kashmir
TOTAL,363150,1275561405.7653875,jammu district,2020,1,jammu-&-kashmir
TOTAL,10813,28214462.840443924,ganderbal district,2020,1,jammu-&-kashmir
TOTAL,45339,137536252.00526458,udhampur district,2020,1,jammu-&-kashmir
TOTAL,10311,27789837.54150642,bandipore district,2020,1,jammu-&-kashmir
TOTAL,24431,69003941.03140756,reasi district,2020,1,jammu-&-kashmir
TOTAL,7878,18157391.903722018,shopian district,2020,1,jammu-&-kashmir
TOTAL,16709,52760138.965863004,poonch district,2020,1,jammu-&-kashmir
TOTAL,48120,107171478.55933961,kathua district,2020,1,jammu-&-kashmir
TOTAL,9710,27259898.028504793,kishtwar district,2020,1,jammu-&-kashmir
TOTAL,26598,76212175.43966158,pulwama district,2020,1,jammu-&-kashmir
TOTAL,12796,34487947.978801765,ramban district,2020,1,jammu-&-kashmir
TOTAL,28561,88475364.88892928,rajouri district,2020,1,jammu-&-kashmir
TOTAL,12394,24289856.01002881,kulgam district,2020,1,jammu-&-kashmir
TOTAL,32991,95338551.22633348,budgam district,2020,1,jammu-&-kashmir
TOTAL,25741,70085624.44047819,anantnag district,2020,1,jammu-&-kashmir
TOTAL,29357,87388063.94032452,kupwara district,2020,1,jammu-&-kashmir
TOTAL,656,2880433.662297405,muzaffarabad district,2020,2,jammu-&-kashmir
TOTAL,57928,135990634.9908951,doda district,2020,2,jammu-&-kashmir
TOTAL,92336,202733580.03466016,samba district,2020,2,jammu-&-kashmir
TOTAL,14046,44622104.6311252,mirpur district,2020,2,jammu-&-kashmir
TOTAL,440808,1810806888.436264,srinagar district,2020,2,jammu-&-kashmir
TOTAL,139478,414666518.8451662,baramulla district,2020,2,jammu-&-kashmir
TOTAL,819252,2746977181.9002085,jammu district,2020,2,jammu-&-kashmir
TOTAL,36483,106190105.59913673,ganderbal district,2020,2,jammu-&-kashmir
TOTAL,127419,319173115.28145945,udhampur district,2020,2,jammu-&-kashmir
TOTAL,36152,102723529.86849661,bandipore district,2020,2,jammu-&-kashmir
TOTAL,49746,106410135.68047369,reasi district,2020,2,jammu-&-kashmir
TOTAL,24785,66217970.77443329,shopian district,2020,2,jammu-&-kashmir
TOTAL,65969,192100840.0578707,poonch district,2020,2,jammu-&-kashmir
TOTAL,114835,227977779.90759313,kathua district,2020,2,jammu-&-kashmir
TOTAL,29206,75514041.19893728,kishtwar district,2020,2,jammu-&-kashmir
TOTAL,85402,271480260.94137585,pulwama district,2020,2,jammu-&-kashmir
TOTAL,39854,102642842.42209667,ramban district,2020,2,jammu-&-kashmir
TOTAL,104655,305656997.14551216,rajouri district,2020,2,jammu-&-kashmir
TOTAL,42870,100175288.12866533,kulgam district,2020,2,jammu-&-kashmir
TOTAL,112970,331830464.6882304,budgam district,2020,2,jammu-&-kashmir
TOTAL,85384,239711526.255058,anantnag district,2020,2,jammu-&-kashmir
TOTAL,114772,359166698.8086049,kupwara district,2020,2,jammu-&-kashmir
TOTAL,1572,5773809.286486714,muzaffarabad district,2020,3,jammu-&-kashmir
TOTAL,68744,173984872.11111727,doda district,2020,3,jammu-&-kashmir
TOTAL,113571,309268006.2905833,samba district,2020,3,jammu-&-kashmir
TOTAL,15019,54072783.391636506,mirpur district,2020,3,jammu-&-kashmir
TOTAL,461915,1879035426.896187,srinagar district,2020,3,jammu-&-kashmir
TOTAL,183583,580425624.3604748,baramulla district,2020,3,jammu-&-kashmir
TOTAL,1266667,4876922229.442625,jammu district,2020,3,jammu-&-kashmir
TOTAL,50743,155780382.9954802,ganderbal district,2020,3,jammu-&-kashmir
TOTAL,154296,445180791.5536319,udhampur district,2020,3,jammu-&-kashmir
TOTAL,48450,147013052.43061084,bandipore district,2020,3,jammu-&-kashmir
TOTAL,56486,135099068.4405353,reasi district,2020,3,jammu-&-kashmir
TOTAL,34708,101326986.58238825,shopian district,2020,3,jammu-&-kashmir
TOTAL,76518,263707934.54872236,poonch district,2020,3,jammu-&-kashmir
TOTAL,126283,311678208.3628339,kathua district,2020,3,jammu-&-kashmir
TOTAL,31188,83180064.56537089,kishtwar district,2020,3,jammu-&-kashmir
TOTAL,114833,372238070.397479,pulwama district,2020,3,jammu-&-kashmir
TOTAL,45879,125848917.44620399,ramban district,2020,3,jammu-&-kashmir
TOTAL,125973,413621357.5955142,rajouri district,2020,3,jammu-&-kashmir
TOTAL,55854,145784144.81867468,kulgam district,2020,3,jammu-&-kashmir
TOTAL,148225,477023512.9076569,budgam district,2020,3,jammu-&-kashmir
TOTAL,128022,403569858.30771744,anantnag district,2020,3,jammu-&-kashmir
TOTAL,157369,516694658.1405349,kupwara district,2020,3,jammu-&-kashmir
TOTAL,2190,8320762.641519774,muzaffarabad district,2020,4,jammu-&-kashmir
TOTAL,101107,228886606.7496394,doda district,2020,4,jammu-&-kashmir
TOTAL,192767,485508786.5685181,samba district,2020,4,jammu-&-kashmir
TOTAL,22039,79706376.63871619,mirpur district,2020,4,jammu-&-kashmir
TOTAL,731076,2177635781.644431,srinagar district,2020,4,jammu-&-kashmir
TOTAL,412433,862594987.5778542,baramulla district,2020,4,jammu-&-kashmir
TOTAL,1776840,5696308275.135366,jammu district,2020,4,jammu-&-kashmir
TOTAL,92285,201135628.2568581,ganderbal district,2020,4,jammu-&-kashmir
TOTAL,248906,646828971.36521,udhampur district,2020,4,jammu-&-kashmir
TOTAL,106767,229201197.19575912,bandipore district,2020,4,jammu-&-kashmir
TOTAL,100618,229255669.2348591,reasi district,2020,4,jammu-&-kashmir
TOTAL,71983,161658443.40664437,shopian district,2020,4,jammu-&-kashmir
TOTAL,117245,342505124.4352001,poonch district,2020,4,jammu-&-kashmir
TOTAL,226360,463045666.1261914,kathua district,2020,4,jammu-&-kashmir
TOTAL,51330,107185861.51281238,kishtwar district,2020,4,jammu-&-kashmir
TOTAL,219731,551823991.7884358,pulwama district,2020,4,jammu-&-kashmir
TOTAL,78367,192684246.34585124,ramban district,2020,4,jammu-&-kashmir
TOTAL,196713,567890456.5176737,rajouri district,2020,4,jammu-&-kashmir
TOTAL,124253,220794472.45019814,kulgam district,2020,4,jammu-&-kashmir
TOTAL,295461,692267475.7911439,budgam district,2020,4,jammu-&-kashmir
TOTAL,282499,514346950.9515931,anantnag district,2020,4,jammu-&-kashmir
TOTAL,303474,721320071.0437154,kupwara district,2020,4,jammu-&-kashmir
TOTAL,1760,7018769.97680518,muzaffarabad district,2021,1,jammu-&-kashmir
TOTAL,93540,197962516.58644903,doda district,2021,1,jammu-&-kashmir
TOTAL,201873,489544571.0195805,samba district,2021,1,jammu-&-kashmir
TOTAL,19836,76641365.50414479,mirpur district,2021,1,jammu-&-kashmir
TOTAL,1027161,2568956545.4611216,srinagar district,2021,1,jammu-&-kashmir
TOTAL,410535,785025036.8822093,baramulla district,2021,1,jammu-&-kashmir
TOTAL,2651223,7421535965.773878,jammu district,2021,1,jammu-&-kashmir
TOTAL,90691,163957078.62440437,ganderbal district,2021,1,jammu-&-kashmir
TOTAL,253788,659211752.0750571,udhampur district,2021,1,jammu-&-kashmir
TOTAL,110105,212281960.49428704,bandipore district,2021,1,jammu-&-kashmir
TOTAL,129459,310187729.6204411,reasi district,2021,1,jammu-&-kashmir
TOTAL,72084,140201587.32333398,shopian district,2021,1,jammu-&-kashmir
TOTAL,103668,299466026.8590725,poonch district,2021,1,jammu-&-kashmir
TOTAL,245017,476737690.8982123,kathua district,2021,1,jammu-&-kashmir
